timestamp,symbol,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,bv1,bv2,bv3,bv4,bv5,bv6,bv7,bv8,bv9,bv10,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,av1,av2,av3,av4,av5,av6,av7,av8,av9,av10
2021-08-20 00:00:00,LINKUSDT.BNC,27.095,27.088,27.085,27.083,27.082,27.081,27.079,27.078,27.077,27.076,988.45,215.284,195.0,40.0,34.442,73.42,108.254,480.74,218.218,354.909,27.101,27.105,27.106,27.107,27.108,27.109,27.11,27.111,27.112,27.113,21.079,163.422,25.909,190.0,19.252,107.023,5.962,93.62,14.277,180.377
2021-08-20 00:00:01,LINKUSDT.BNC,27.095,27.089,27.088,27.087,27.085,27.082,27.081,27.08,27.079,27.078,964.45,13.122,215.284,34.303,106.877,34.442,68.25,195.0,68.254,480.74,27.1,27.104,27.105,27.107,27.108,27.109,27.11,27.111,27.112,27.113,21.079,25.909,163.422,190.0,19.252,607.023,5.962,93.62,89.522,180.377
2021-08-20 00:00:02,LINKUSDT.BNC,27.095,27.09,27.089,27.088,27.087,27.085,27.082,27.081,27.08,27.079,462.036,15.574,111.643,215.284,34.303,106.877,34.442,68.25,195.0,88.281,27.096,27.1,27.101,27.104,27.105,27.107,27.108,27.109,27.11,27.111,20.0,14.871,24.0,1.496,181.876,190.0,52.87,840.946,185.962,75.17
2021-08-20 00:00:03,LINKUSDT.BNC,27.09,27.089,27.088,27.087,27.086,27.085,27.084,27.082,27.081,27.08,23.642,41.693,39.553,34.303,0.615,180.0,106.877,34.442,68.25,195.0,27.1,27.101,27.104,27.105,27.107,27.108,27.109,27.11,27.111,27.113,1.079,24.0,0.915,181.877,190.0,52.87,840.946,185.962,75.17,180.377
2021-08-20 00:00:04,LINKUSDT.BNC,27.093,27.091,27.09,27.089,27.088,27.085,27.084,27.082,27.081,27.08,1.079,24.314,23.642,101.303,253.935,180.0,106.877,34.442,68.25,195.0,27.101,27.103,27.104,27.105,27.107,27.108,27.109,27.11,27.111,27.113,5.265,18.455,2.411,163.422,190.0,52.87,840.946,185.962,0.5,180.377
2021-08-20 00:00:05,LINKUSDT.BNC,27.091,27.09,27.089,27.088,27.086,27.085,27.082,27.081,27.08,27.079,22.577,23.642,101.303,253.935,100.414,286.877,34.442,68.25,264.953,88.281,27.101,27.102,27.103,27.104,27.105,27.107,27.108,27.109,27.11,27.111,5.265,15.761,18.455,2.411,163.422,282.314,52.87,896.317,185.962,75.09
2021-08-20 00:00:06,LINKUSDT.BNC,27.091,27.09,27.088,27.086,27.085,27.082,27.081,27.08,27.079,27.078,15.481,23.642,74.808,100.414,286.877,34.442,68.25,264.953,88.281,480.74,27.1,27.101,27.102,27.104,27.105,27.107,27.108,27.109,27.11,27.111,0.079,5.265,35.31,17.638,163.422,282.314,52.87,790.543,185.962,18.952
2021-08-20 00:00:07,LINKUSDT.BNC,27.092,27.091,27.09,27.088,27.086,27.085,27.082,27.081,27.08,27.079,13.694,15.481,23.642,74.808,100.414,286.877,34.442,76.783,264.953,88.281,27.1,27.101,27.102,27.104,27.105,27.107,27.108,27.109,27.11,27.111,17.319,20.492,35.31,2.411,163.422,282.314,52.87,790.543,204.415,0.5
2021-08-20 00:00:08,LINKUSDT.BNC,27.092,27.091,27.09,27.089,27.088,27.086,27.085,27.082,27.081,27.08,13.696,15.481,23.642,26.184,39.553,100.414,286.877,34.442,76.783,264.953,27.095,27.101,27.102,27.104,27.105,27.107,27.108,27.109,27.11,27.111,20.708,20.271,68.942,2.411,163.422,462.314,52.87,290.543,204.415,574.81
2021-08-20 00:00:09,LINKUSDT.BNC,27.093,27.092,27.091,27.09,27.089,27.088,27.086,27.085,27.082,27.081,1.07,27.033,14.799,62.426,74.681,213.363,100.414,286.877,34.442,76.783,27.102,27.104,27.105,27.106,27.107,27.108,27.109,27.11,27.111,27.113,34.67,24.0,468.729,220.854,282.314,52.87,290.543,24.415,574.81,180.377
2021-08-20 00:00:10,LINKUSDT.BNC,27.093,27.092,27.091,27.09,27.089,27.088,27.086,27.085,27.082,27.081,1.07,41.703,21.855,62.426,74.681,213.363,100.414,286.877,34.442,76.783,27.102,27.104,27.105,27.106,27.107,27.108,27.109,27.11,27.111,27.113,34.67,25.496,468.729,218.242,92.314,52.87,290.543,5.962,593.261,180.377
